ORF,GENE,s coeff nominal,s coeff nacl,DIFF,Name,Function
YKL035W,UGP1,-0.007941209,-0.010000939,0.00205973,UDP-glucose pyrophosphorylase,"UDP-glucose pyrophosphorylase (UGPase), catalyses the reversible formation of UDP-Glc from glucose 1-phosphate and UTP, involved in a wide variety of metabolic pathways, expression modulated by Pho85p through Pho4p"
YNL245C,CWC25,-0.007837506,0.019214824,0.02705233,Complexed With Cef1p,Splicing factor required for the first step of pre-mRNA splicing; binding to the spliceosome requires Prp2p and Yju2p; heat-stable protein; has similarity to S. pombe Cwf25p
YDL220C,CDC13,-0.007821713,0.018116023,0.025937737,Cell Division Cycle,"Single stranded DNA-binding protein found at TG1-3 telomere G-tails; regulates telomere replication through recruitment of specific sub-complexes, but the essential function is telomere capping; autophagy and proteasome are involved in Cdc13p degradation"
YLL004W,ORC3,-0.007765909,-0.010022307,0.002256397,Origin Recognition Complex,"Subunit of the origin recognition complex, which directs DNA replication by binding to replication origins and is also involved in transcriptional silencing"
YAL033W,POP5,-0.007602924,-0.004063407,0.003539516,Processing Of Precursor RNAs,"Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs"
YOL139C,CDC33,-0.007575149,0.006709087,0.014284236,Cell Division Cycle,Cytoplasmic mRNA cap binding protein and translation initiation factor eIF4E; the eIF4E-cap complex is responsible for mediating cap-dependent mRNA translation via interactions with translation initiation factor eIF4G (Tif4631p or Tif4632p)
YLR275W,SMD2,-0.007554348,-0.00039741,0.007156938,0,"Core Sm protein Sm D2; part of heteroheptameric complex (with Smb1p, Smd1p, Smd3p, Sme1p, Smx3p, and Smx2p) that is part of the spliceosomal U1, U2, U4, and U5 snRNPs; homolog of human Sm D2"
YOL144W,NOP8,-0.007378019,-0.005939333,0.001438687,NucleOlar Protein,Nucleolar protein required for 60S ribosomal subunit biogenesis
YLR249W,YEF3,-0.007377083,-0.018788151,0.011411067,Yeast Elongation Factor,"Gamma subunit of translational elongation factor eEF1B, stimulates the binding of aminoacyl-tRNA (AA-tRNA) to ribosomes by releasing eEF1A (Tef1p/Tef2p) from the ribosomal complex; contains two ABC cassettes; binds and hydrolyzes ATP"
YNL317W,PFS2,-0.007358399,-0.0040172,0.003341199,Polyadenylation Factor Subunit,Integral subunit of the pre-mRNA cleavage and polyadenylation factor (CPF) complex; plays an essential role in mRNA 3'-end formation by bridging different processing factors and thereby promoting the assembly of the processing complex
YGR047C,TFC4,-0.007333915,0.000233349,0.007567265,Transcription Factor class C,One of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauA domain of TFIIIC that binds BoxA DNA promoter sites of tRNA and similar genes; has TPR motifs; human homolog is TFIIIC-102
YDR201W,SPC19,-0.007325089,-0.002184135,0.005140954,Spindle Pole Component,"Essential subunit of the Dam1 complex (aka DASH complex), couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; also localized to nuclear side of spindle pole body"
YGL247W,BRR6,-0.007280068,0.004400554,0.011680622,Bad Response to Refrigeration,"Essential nuclear envelope integral membrane protein required for nuclear envelope morphology, nuclear pore complex localization, nuclear export; exhibits synthetic lethal genetic interactions with genes involved in lipid metabolism"
YGL137W,SEC27,-0.0072702,-0.001698672,0.005571529,SECretory,"Essential beta'-coat protein of the COPI coatomer, involved in ER-to-Golgi and Golgi-to-ER transport; contains WD40 domains that mediate cargo selective interactions; 45% sequence identity to mammalian beta'-COP"
YDR367W,KEI1,-0.007250588,0.00071003,0.007960619,Kex2-cleavable protein Essential for Inositol phosphorylceramide synthesis,Component of inositol phosphorylceramide (IPC) synthase; forms a complex with Aur1p and regulates its activity; required for IPC synthase complex localization to the Golgi; post-translationally processed by Kex2p; KEI1 is an essential gene
YOL146W,PSF3,-0.007218946,-0.005530474,0.001688471,Partner of Sld Five,"Subunit of the GINS complex (Sld5p, Psf1p, Psf2p, Psf3p), which is localized to DNA replication origins and implicated in assembly of the DNA replication machinery"
YPL011C,TAF3,-0.007199622,-0.012016483,0.004816861,TATA binding protein-Associated Factor,"TFIID subunit (47 kDa), involved in promoter binding and RNA polymerase II transcription initiation"
YLR153C,ACS2,-0.007183352,-0.048132685,0.040949333,Acetyl CoA Synthetase,"Acetyl-coA synthetase isoform which, along with Acs1p, is the nuclear source of acetyl-coA for histone acetylation; mutants affect global transcription; required for growth on glucose; expressed under anaerobic conditions"
YPL209C,IPL1,-0.0071246,-0.003688424,0.003436177,Increase in PLoidy,"Aurora kinase subunit of the conserved chromosomal passenger complex (CPC; Ipl1p-Sli15p-Bir1p-Nbl1p), involved in regulating kinetochore-microtubule attachments; helps maintain condensed chromosomes during anaphase and early telophase; required for SPB cohesion and prevention of multipolar spindle formation"
YGL075C,MPS2,-0.007118041,-0.003883266,0.003234775,MonoPolar Spindle,"Essential membrane protein localized at the nuclear envelope and spindle pole body (SPB), required for insertion of the newly duplicated SPB into the nuclear envelope; potentially phosphorylated by Cdc28p"
YJL019W,MPS3,-0.007111988,-0.002307089,0.004804899,MonoPolar Spindle,Nuclear envelope protein required for SPB duplication and nuclear fusion; localizes to the SPB half bridge and at telomeres during meiosis; required with Ndj1p and Csm4p for meiotic bouquet formation and telomere-led rapid prophase movement
YGR216C,GPI1,-0.007091715,-0.006790633,0.000301082,GlycosylPhosphatidylInositol anchoring biosynthesis,"Membrane protein involved in the synthesis of N-acetylglucosaminyl phosphatidylinositol (GlcNAc-PI), the first intermediate in the synthesis of glycosylphosphatidylinositol (GPI) anchors; human and mouse GPI1p are functional homologs"
YFL045C,SEC53,-0.006997523,-0.003001431,0.003996092,SECretory,"Phosphomannomutase, involved in synthesis of GDP-mannose and dolichol-phosphate-mannose; required for folding and glycosylation of secretory proteins in the ER lumen"
YDR362C,TFC6,-0.006955342,0.001011904,0.007967247,Transcription Factor C,One of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); part of TFIIIC TauB domain that binds BoxB promoter sites of tRNA and other genes; cooperates with Tfc3p in DNA binding; human homolog is TFIIIC-110
YLR424W,SPP382,-0.006940922,-0.003628229,0.003312693,Suppressor of PrP38 #2,"Essential protein that forms a dimer with Ntr2p; also forms a trimer, with Ntr2p and Prp43p, that is involved in spliceosome disassembly; found also in a multisubunit complex with the splicing factor Clf1p; suppressor of prp38-1 mutation"
YJL143W,TIM17,-0.006910931,-0.007913059,0.001002128,Translocase of the Inner Mitochondrial membrane,"Essential subunit of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); with Tim23p, contributes to the architecture and function of the import channel; may link the import motor to the core TIM23 complex"
YMR260C,TIF11,-0.006904198,-0.002619411,0.004284787,Translation Initiation Factor,"Translation initiation factor eIF1A, essential protein that forms a complex with Sui1p (eIF1) and the 40S ribosomal subunit and scans for the start codon; C-terminus associates with Fun12p (eIF5B); N terminus interacts with eIF2 and eIF3"
YFR027W,ECO1,-0.00690047,-0.00325054,0.00364993,Establishment of COhesion,Acetyltransferase required for establishment of sister chromatid cohesion; modifies Smc3p at replication forks and Mcd1p in response to ds DNA breaks; has a C2H2-type zinc finger; mutations in human homolog ESCO2 cause Roberts syndrome
YDR427W,RPN9,-0.006876019,0.002604416,0.009480435,Regulatory Particle Non-ATPase,"Non-ATPase regulatory subunit of the 26S proteasome, has similarity to putative proteasomal subunits in other species; null mutant is temperature sensitive and exhibits cell cycle and proteasome assembly defects"
YHR069C,RRP4,-0.006846808,0.004832546,0.011679354,Ribosomal RNA Processing,Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; predicted to contain RNA binding domains; has similarity to human hRrp4p (EXOSC2)
YGL097W,SRM1,-0.006802564,-0.004064755,0.00273781,Suppressor of Receptor Mutations,"Nucleotide exchange factor for Gsp1p, localizes to the nucleus, required for nucleocytoplasmic trafficking of macromolecules; suppressor of the pheromone response pathway; potentially phosphorylated by Cdc28p"
YOR194C,TOA1,-0.006784806,0.004741346,0.011526152,0,"TFIIA large subunit; involved in transcriptional activation, acts as antirepressor or as coactivator; homologous to largest and second largest subunits of human and Drosophila TFIIA"
YPL160W,CDC60,-0.006741654,-0.006953748,0.000212094,Cell Division Cycle,"Cytosolic leucyl tRNA synthetase, ligates leucine to the appropriate tRNA"
YKR022C,NTR2,-0.006650143,-0.005521138,0.001129005,NineTeen complex Related protein,"Essential protein that forms a dimer with Ntr1p; also forms a trimer, with Ntr2p and the DExD/H-box RNA helicase Prp43p, that is involved in spliceosome disassembly"
YGL073W,HSF1,-0.00659769,-0.014370257,0.007772567,Heat Shock transcription Factor,"Trimeric heat shock transcription factor, activates multiple genes in response to stresses that include hyperthermia; recognizes variable heat shock elements (HSEs) consisting of inverted NGAAN repeats; posttranslationally regulated"
YMR213W,CEF1,-0.006510358,-0.004519467,0.001990891,CErevisiae homolog of cdc Five,"Essential splicing factor; associated with Prp19p and the spliceosome, contains an N-terminal c-Myb DNA binding motif necessary for cell viability but not for Prp19p association, evolutionarily conserved and homologous to S. pombe Cdc5p"
YDR429C,TIF35,-0.006376581,-0.005140877,0.001235704,Translation Initiation Factor,"eIF3g subunit of the core complex of translation initiation factor 3 (eIF3), which is essential for translation; stimulates resumption of ribosomal scanning during translation reinitiation"
YNL102W,POL1,-0.006374947,-0.008864886,0.00248994,POLymerase,"Catalytic subunit of the DNA polymerase I alpha-primase complex, required for the initiation of DNA replication during mitotic DNA synthesis and premeiotic DNA synthesis"
YLR274W,MCM5,-0.00636175,-0.009932991,0.003571241,MiniChromosome Maintenance,"Component of the hexameric MCM complex, which is important for priming origins of DNA replication in G1 and becomes an active ATP-dependent helicase that promotes DNA melting and elongation when activated by Cdc7p-Dbf4p in S-phase"
YBR154C,RPB5,-0.006337207,-0.002494674,0.003842533,RNA Polymerase B,"RNA polymerase subunit ABC27, common to RNA polymerases I, II, and III; contacts DNA and affects transactivation"
YLR147C,SMD3,-0.006303767,-0.000886054,0.005417713,0,"Core Sm protein Sm D3; part of heteroheptameric complex (with Smb1p, Smd1p, Smd2p, Sme1p, Smx3p, and Smx2p) that is part of the spliceosomal U1, U2, U4, and U5 snRNPs; homolog of human Sm D3"
YBR002C,RER2,-0.006172969,-0.00798562,0.001812652,Retention in the Endoplasmic Reticulum,Cis-prenyltransferase involved in dolichol synthesis; participates in endoplasmic reticulum (ER) protein sorting
YDR113C,PDS1,-0.006146275,-0.012952108,0.006805833,Precocious Dissociation of Sisters,"Securin, inhibits anaphase by binding separin Esp1p; blocks cyclin destruction and mitotic exit, essential for meiotic progression and mitotic cell cycle arrest; localization is cell-cycle dependent and regulated by Cdc28p phosphorylation"
YGR251W,NOP19,-0.005970087,-0.005742639,0.000227448,NucleOlar Protein,"Ribosome biogenesis factor; nucleolar protein associated with pre-rRNA components of the 90S preribosome, required for cleavage of pre-rRNA at A0, A1 and A2 sites; interacts with RNA helicase Dhr2p and RNA helicase-like protein Utp25p; required for incorporation of Utp25p into preribosomes"
YNL244C,SUI1,-0.005960888,0.011443408,0.017404296,SUppressor of Initiator codon,Translation initiation factor eIF1; component of a complex involved in recognition of the initiator codon; modulates translation accuracy at the initiation phase
YPR180W,AOS1,-0.005948774,-0.002422641,0.003526133,Activation Of Smt3p,"Subunit of a heterodimeric nuclear SUMO activating enzyme (E1) with Uba2p; activates Smt3p (SUMO) before its conjugation to proteins (sumoylation), which may play a role in protein targeting; essential for viability"
YBL035C,POL12,-0.005767487,-0.001320224,0.004447262,POLymerase,"B subunit of DNA polymerase alpha-primase complex, required for initiation of DNA replication during mitotic and premeiotic DNA synthesis; also functions in telomere capping and length regulation"
YDL014W,NOP1,-0.005767401,-0.008506133,0.002738732,NucleOlar Protein,"Nucleolar protein, component of the small subunit processome complex, which is required for processing of pre-18S rRNA; has similarity to mammalian fibrillarin"
